publishedtime,desc,likes,reposts,views,replies,bookmarks,tweeturl,contenturl
Wed Oct 31 15:47:37 +0000 2018,"RT @oxxxymironshop: NEW: Футболки и стикеры «Машина Прогресса» по мотивам одноименного видео Oxxxymiron и Ка-тет.

Первые 100 купивших футб…",0,5,None,0,0,https://x.com/norimyxxxo/status/1057660369362190341,None
Tue Oct 30 17:39:30 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@Aromat_peregara VS @letai_kireev) Этап 4 
https://t.co/gMR77tK99J",0,20,None,0,0,https://x.com/norimyxxxo/status/1057326139201462273,None
Tue Oct 30 17:39:18 +0000 2018,"RT @MARKMARKUL: MARKUL — BEFORE THE GREAT DEPRESSION 🎞

https://t.co/V3Fo0OdZoM https://t.co/MHaWD2Awsu",0,79,None,0,0,https://x.com/norimyxxxo/status/1057326089545101315,https://pbs.twimg.com/media/Dqw3c8eXQAAovoW.jpg
Thu Oct 18 20:30:42 +0000 2018,RT @thomasmr4z: Четырёхлетнее похмелье подошло к концу! https://t.co/UnaEpC4A0b,0,129,None,0,0,https://x.com/norimyxxxo/status/1053020569912963073,None
Tue Oct 16 11:55:31 +0000 2018,"RT @MARKMARKUL: MARKUL — GREAT DEPRESSION
            
https://t.co/KjRL3hngjB

Produced by @shumnomusic &amp; @realclaudemoney 
Mixed by 1703…",0,623,None,0,0,https://x.com/norimyxxxo/status/1052166143035789314,None
Sun Oct 14 18:24:52 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@JMakonnenOne VS N’rage) Этап 3
https://t.co/obT2QIOY0N",0,16,None,0,0,https://x.com/norimyxxxo/status/1051539350071193601,None
Fri Oct 12 16:55:41 +0000 2018,"RT @JohnnyRudeboy: сегодня в 20:00 на https://t.co/WxzTeX3Gw4 c  @MorraYarty и @norimyxxxo говорим о немецком рэпе, развитии жанра и что же…",0,62,None,0,0,https://x.com/norimyxxxo/status/1050792131097493511,None
Mon Oct 08 17:06:59 +0000 2018,"RT @JEEMBX: GRAVEWALKER 

https://t.co/Ykzo9vOrZt

GET AWAY FROM YOUR GRAVE https://t.co/nM8zRPMy11",0,175,None,0,0,https://x.com/norimyxxxo/status/1049345423306096647,https://pbs.twimg.com/media/Do_q8ipXsAAZXh8.jpg
Sun Oct 07 19:26:25 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@kotorypalm VS @_paragrin) Этап 3
https://t.co/S9zpF7ZP90",0,32,None,0,0,https://x.com/norimyxxxo/status/1049018125323317248,None
Mon Oct 01 04:36:50 +0000 2018,"Картер 5 просто вышка, репичу целиком. как будто и не было этого многолетнего прозябания в царстве теней: вроде классический Визи-звук, а звучит суперсвежо. 
Короче, все, что в последнее время не совсем получается у Эма, получилось у Вейна. Инстант клэссик",2431,66,None,77,0,https://x.com/norimyxxxo/status/1046619928671997952,None
Sun Sep 30 15:17:50 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@letai_kireev VS @leomiles495) Этап 3
https://t.co/6vFT5iGaNN",0,36,None,0,0,https://x.com/norimyxxxo/status/1046418853746610176,None
Sun Sep 30 15:17:41 +0000 2018,Летай 💪,1511,20,None,54,0,https://x.com/norimyxxxo/status/1046418816224440321,None
Fri Sep 28 15:32:20 +0000 2018,RT @kingporchy: Get your tickets at https://t.co/K617YlOZws ⛈🌩🌪⚡️ https://t.co/EXoM7Obc3n,0,112,None,0,0,https://x.com/norimyxxxo/status/1045697727106027520,https://pbs.twimg.com/media/DoMOAhrXgAA6Ewp.jpg
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151141,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Fri Sep 28 15:32:15 +0000 2018,"RT @kingporchy: You asked for it you got it! 🌹

Booking Machine presents:
Porchy in Moscow and Saint P - The Calm Before The Tour

This Dec…",0,18,None,0,0,https://x.com/norimyxxxo/status/1045697702745567234,None
Fri Sep 28 15:32:00 +0000 2018,"Аллилуя, свершилось 🙌
Сольные концерты Порчи этой зимой.

Ретвитните-ка его, ребзя",1969,228,None,41,1,https://x.com/norimyxxxo/status/1045697642192412672,None
Sun Sep 23 16:54:03 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@dinastsg VS VITYABOVEE) Этап 3
https://t.co/T3wpTonZb5",0,42,None,0,0,https://x.com/norimyxxxo/status/1043906352026984448,None
Sun Sep 23 16:54:01 +0000 2018,Охуенный баттл вышел,1798,26,None,71,0,https://x.com/norimyxxxo/status/1043906341201481728,None
Sat Sep 22 20:10:30 +0000 2018,"Attention all battle leagues.. 

Ah shit, i keep forgetting the most we can expect from US industry rappers is diss tracks. What a crazy acapella battle this could have been though. Sigh.",534,10,None,13,0,https://x.com/norimyxxxo/status/1043593402988814342,None
Fri Sep 21 17:29:57 +0000 2018,"Я, конечно, нихуя не знаю про мма, но не этого ли впечатления он и хотел добиться всей этой неубедительной театральщиной, виски и тд? Ну не поверю я, что он после всей подготовки впервые так нервничал, что стал запинаться. Не маска ли это, чтобы еще лучше продать бой и отвлечь?",1243,13,None,61,1,https://x.com/norimyxxxo/status/1043190609459208195,None
Fri Sep 21 17:07:23 +0000 2018,"Прессконфы Макгрегора &gt; баттлы

Хотя эта, конечно, слабее тех, что были с Альдо и Диазом, тут шоу-элемент слишком очевиден и все менее органично. Но все равно весело

За самими боями едва слежу, но прессконфы с удовольствием смотрю как отдельный жанр. Вот она, сила личности",2071,57,None,36,2,https://x.com/norimyxxxo/status/1043184930195472384,None
Thu Sep 20 13:59:09 +0000 2018,"Локи покидает БМ за незнание классики

Три Монолога - ключевая веха в развитии сторителлинга",6285,221,None,171,6,https://x.com/norimyxxxo/status/1042775170346311681,None
Wed Sep 19 18:39:06 +0000 2018,Тот самый рубикон 😶,991,6,None,97,0,https://x.com/norimyxxxo/status/1042483237623394305,None
Wed Sep 19 15:48:53 +0000 2018,Ghetts - London #np 🔥🔥🔥,581,6,None,14,1,https://x.com/norimyxxxo/status/1042440398952706048,None
Tue Sep 18 21:22:36 +0000 2018,If this man doesnt become a global superstar very soon theres smth deeply wrong with this world. Every track/video is fucking epic.,616,19,None,22,6,https://x.com/norimyxxxo/status/1042161993497632769,None
Tue Sep 18 20:38:32 +0000 2018,"RT @thomasmr4z: Совсем скоро стартует наш новый, наполненный сюрпризами, тур,время купить билет и окунуться в уникальную атмосферу ещё есть…",0,10,None,0,0,https://x.com/norimyxxxo/status/1042150906509320192,None
Mon Sep 17 21:14:15 +0000 2018,"RT @DirtyDikeSMB: I dont need to dress and act like a rapper, i am one.",0,22,None,0,0,https://x.com/norimyxxxo/status/1041797504801615872,None
Sun Sep 16 20:56:08 +0000 2018,"Завел кота, чтобы прокачивать соцсети https://t.co/hbB657po0k",8441,251,None,169,11,https://x.com/norimyxxxo/status/1041430559690567680,https://pbs.twimg.com/media/DnPnjfdW4AUdbT9.jpg
Sun Sep 16 20:10:00 +0000 2018,сегодня был передоз эмоций,2401,79,None,28,4,https://x.com/norimyxxxo/status/1041418946606510080,None
Sun Sep 16 17:04:57 +0000 2018,"RT @versusbattleru: VERSUS: FRESH BLOOD 4 (@vladbw VS @Aromat_peregara) Этап 3 
https://t.co/XTI5NcdqZP",0,31,None,0,0,https://x.com/norimyxxxo/status/1041372380193599489,None
Sun Sep 16 17:04:53 +0000 2018,"Третий этап, погнали 😈",967,4,None,32,1,https://x.com/norimyxxxo/status/1041372360975282177,None
Sun Sep 16 00:13:18 +0000 2018,"Crazy UK battle: @sensauk vs @shox2thesystem

https://t.co/RGmvRq2FMg

Finally watched it, not sure who i got winning. Sensa always been one of Britains best, good to see hes still just as vicious (maybe even more so); Shox heartfelt 2nd was like listening to a dope album. 👏",411,6,None,9,0,https://x.com/norimyxxxo/status/1041117790026063875,None
Sat Sep 15 12:41:42 +0000 2018,"Оператор, монтировавший встречу команды, прислал свой director’s cut https://t.co/WAcPy7imjV",3305,232,None,31,66,https://x.com/norimyxxxo/status/1040943740653891584,https://pbs.twimg.com/ext_tw_video_thumb/1040943496633438208/pu/img/hz3jSv6M9elfbxWS.jpg
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151141,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Sat Sep 15 12:29:12 +0000 2018,"О, спасибо",1880,31,None,30,0,https://x.com/norimyxxxo/status/1040940598075777025,None
Fri Sep 14 20:47:08 +0000 2018,"вышел альбом группы Грязь: 
https://t.co/LNnR7kGLSO https://t.co/4eyUDP0DWH",1274,65,None,22,9,https://x.com/norimyxxxo/status/1040703516870889472,https://pbs.twimg.com/media/DnFSKgiW4AAxXBl.jpg
Fri Sep 14 20:28:58 +0000 2018,"Не тотальное уничтожение карьеры, но однозначно выигранный бой",1401,49,None,62,6,https://x.com/norimyxxxo/status/1040698944202964992,None
Fri Sep 14 12:21:56 +0000 2018,"У нас тут вчера командная встреча вышла, так вот, за помощь с реализацией задумки огромное спасибо моему другу, хип-хоп-энциклопедисту @igorleonidovic 

https://t.co/rPOT2lmjUY",892,6,None,19,0,https://x.com/norimyxxxo/status/1040576378192777216,None
Thu Sep 13 12:53:31 +0000 2018,RT @versusbattleru: VERSUS Fresh Blood 4: Команда @norimyxxxo (Встреча 3) / Четыре Элемента https://t.co/VEcFR1Nphi,0,25,None,0,0,https://x.com/norimyxxxo/status/1040221941842563073,None
Thu Sep 13 12:44:33 +0000 2018,бэк ту зе рутс,974,13,None,46,1,https://x.com/norimyxxxo/status/1040219685340557314,None
Wed Sep 12 23:53:16 +0000 2018,Чекпойнт 1,1095,9,None,33,1,https://x.com/norimyxxxo/status/1040025581834973185,None
Wed Sep 12 18:16:06 +0000 2018,"Это даже близко не о нем было 😆 
но ты забавно негодуешь, продолжай)",1046,3,None,36,1,https://x.com/norimyxxxo/status/1039940732910542854,None
Wed Sep 12 14:04:09 +0000 2018,"You mention me, millions of views, attention in news

I mention you, lose-lose for me, win-win for you",2432,165,None,73,3,https://x.com/norimyxxxo/status/1039877327247880194,None
Thu Sep 06 12:38:14 +0000 2018,"RT @pionerlager: Наш новый альбом уже в сети! Поддержите ретвитом, ребя! https://t.co/5y6nQdKsNk https://t.co/vRL8EMfJSQ",0,95,None,0,0,https://x.com/norimyxxxo/status/1037681378979184640,https://pbs.twimg.com/media/DmBg90CW0AYQob0.jpg
Wed Sep 05 10:24:17 +0000 2018,"100 дней тотал трезвости, полет нормальный",5335,89,None,187,4,https://x.com/norimyxxxo/status/1037285281928544256,None
Tue Sep 04 22:21:33 +0000 2018,Это охуенно,2191,66,None,56,3,https://x.com/norimyxxxo/status/1037103399580430337,None
Tue Sep 04 21:43:07 +0000 2018,Эм просто не прошел форум хип-хоп.ру,985,14,None,28,0,https://x.com/norimyxxxo/status/1037093728358420483,None
Tue Sep 04 21:25:46 +0000 2018,"Я фанат Эминема с 98 года, глупый ты человек (и подобные тебе). Естественно я буду его комментировать. Тем более, что с «Камикадзе» это хотя бы снова стало интересно делать.",777,11,None,26,2,https://x.com/norimyxxxo/status/1037089359797866496,None
Tue Sep 04 21:08:22 +0000 2018,"Именно, я едва досмотрел. Хотя с третьего куплета трека и дисса на Лорда Джамара кайфую дико",408,1,None,13,0,https://x.com/norimyxxxo/status/1037084981196193792,None
Tue Sep 04 21:00:16 +0000 2018,"Можно назвать что угодно детсадом. Вот именно этот подход «не трожьте святыню, не тот уровень, чтоб назвать детсадом» - самое контрпродуктивное для артиста. Все мы периодически делаем шляпу, фейлы это неотъемлимая часть пути и не надо этого бояться",612,11,None,21,0,https://x.com/norimyxxxo/status/1037082943133507589,None
Tue Sep 04 20:55:34 +0000 2018,"Я и не спорю) возможно, еще и поэтому воспринимаю его успехи и неудачи как нечто личное) сложно даже 10 лет стабильно делать круто; как ему развиваться 20+ лет, тем более, начав с настолько запредельного уровня - вообще хуй знает. Но именно такие неподъемные задачи и интересны",735,7,None,11,3,https://x.com/norimyxxxo/status/1037081762374082560,None
Tue Sep 04 20:45:32 +0000 2018,"Да понятно это все. Но клип же конкретно унылый по всему от съемки до идеи, где воу эффект?",457,3,None,28,0,https://x.com/norimyxxxo/status/1037079234190225408,None
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151141,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Tue Sep 04 20:37:14 +0000 2018,"Клип Эма опять не то. Попирание своего неуспешного диска ногой вообще детсад.

Тот самый случай, когда не выискиваешь, что бы покритиковать, а, наоборот, искренне хочешь, чтоб артист снова начал делать пиздато и порадоваться за него. Пока выходит с переменным успехом.",1267,19,None,53,2,https://x.com/norimyxxxo/status/1037077145175158785,None
Mon Sep 03 17:34:14 +0000 2018,"Слушатели во время рэп-бифов часто преувеличивают способности одной из сторон. Но Эм в теории похоронить вполне может. Вспомним молодого Эма и конец карьер Эверласта, Джа Рула, Бензино и других. Да, прошло много лет, но сейчас, как никогда, видно, что злой Эм - это все еще машина",929,17,None,46,1,https://x.com/norimyxxxo/status/1036668706837995521,None
Mon Sep 03 16:53:08 +0000 2018,"Так совсем недавно же была новость, что Йелавулф уходит с Шейди после Транк Мьюзик 3. Плюс он постит фоточки с Ган Келли (которого параллельно диссит Джи-изи).

Весь этот биф настолько белый, он дает новое значение словосочетанию «мраморная говядина»",643,12,None,12,0,https://x.com/norimyxxxo/status/1036658364212756480,None
Mon Sep 03 15:13:54 +0000 2018,"В американском рэпе становится интересно, спасибо Эму за разворошенное гнездо:

https://t.co/8De1sVf94K

Ган Келли молодец, дисс по фактам и технически хорош, для первого выстрела более чем достаточно. Как фан всего этого дерьма хочу крови, хлеба, зрелищ и разъеба в ответ",1500,80,None,54,4,https://x.com/norimyxxxo/status/1036633389128974336,None
Mon Sep 03 14:38:36 +0000 2018,Горький на Капри как ключик к цикличности истории https://t.co/ZG39pn1KTS,1682,26,None,37,14,https://x.com/norimyxxxo/status/1036624506821984259,https://pbs.twimg.com/media/DmLUe06X4AcS4sR.jpg
Mon Sep 03 07:05:53 +0000 2018,"Разумеется. Проблема заключается в том, что Леха уже делал подобное в прошлом баттле, когда рассказал про свой недуг. На этом стоило остановиться. Баттл с Сеймуром - это как если б я против Диза снова читал о книге, причем все три раунда, и грозился отныне читать только о книгах",1317,9,None,58,0,https://x.com/norimyxxxo/status/1036510574279053312,None
Sun Sep 02 19:47:26 +0000 2018,"Сеймур стабильно крут, хотя это далеко не лучший его баттл. С Лехой что-то случилось, я не смотрел видео, но вживую дотерпеть до конца его раундов было практически невозможно. Его нападки на оппонента и проповеди меня совершенно не убедили, было очень неловко и хотелось уйти :(",1308,12,None,52,0,https://x.com/norimyxxxo/status/1036339838813970437,None
Sun Sep 02 17:48:44 +0000 2018,"Только начал слушать (интруха с финальной цитатой из Мандельштама) но сходу - просто, жестко, сильно и это факт. Напоминаю о своем твите о Фейсе годовой давности, тогда все посмеялись. Слушайте.",2685,162,None,103,10,https://x.com/norimyxxxo/status/1036309967089938432,None
Sat Sep 01 11:46:08 +0000 2018,"Подними и вытяни руку вперед, сложив указательный, средний и большой пальцы в единый экспрессивный жест, направленный к небу, тряси им на окончаниях слов - и гласные стАнут растЯгиваться сАми собООю! 🇮🇹",1424,60,None,50,3,https://x.com/norimyxxxo/status/1035856327984259073,None
Sat Sep 01 08:53:10 +0000 2018,"Через неделю в Италии, несмотря на полное незнание языка, начинаешь говорить по-русски с сильным итальянским акцентом",3447,69,None,49,2,https://x.com/norimyxxxo/status/1035812800675934208,None
Fri Aug 31 21:16:25 +0000 2018,Эти пиндосы совсем охуели https://t.co/pCkLHhMsfo,2905,96,None,33,8,https://x.com/norimyxxxo/status/1035637455821647882,https://pbs.twimg.com/media/Dl9SxcVXsAAIUT2.jpg
Fri Aug 31 20:06:02 +0000 2018,"Слим Шейди лп, Маршалл Мэтерс лп и Эминем Шоу - это эталонные, гениальные альбомы практически без проходных треков, и с годами они стали еще лучше",905,28,None,27,3,https://x.com/norimyxxxo/status/1035619743468855296,None
Fri Aug 31 20:02:46 +0000 2018,"На релапсе были три охуенных трека: Андеграунд, Стэй Вайд Эвэйк, Бьютифул. Тут их больше, но я согласен, альбомы сопоставимые, в обоих проходных много. Вообще Релапс самый недооцененный релиз Эма кроме сумбурного Инфинит, и в разы круче абсолютно ебаного, перехваленного Рекавери",540,14,None,28,4,https://x.com/norimyxxxo/status/1035618922454769664,None
Fri Aug 31 15:29:45 +0000 2018,"RT @vetal_irec: Отхватить грузовичок пеару как-будто тебя обосрал Эминем и при этом он на самом деле тебя не обосрал - лютейший вин, по-мое…",0,27,None,0,0,https://x.com/norimyxxxo/status/1035550214818545666,None
Fri Aug 31 15:29:09 +0000 2018,"Мне оба эти трека как раз вообще не зашли, эта монотонная высокая интонация на раздражающих битах заебывает так, что переслушивать не тянет. И это возврат не ко временам Шейди, а к более поздним. Когда же он читает медленнее и проще, как в Normal или треке про D12 - сразу кайфово",440,5,None,21,0,https://x.com/norimyxxxo/status/1035550062682812417,None
Fri Aug 31 15:19:45 +0000 2018,😆😆😆😆 это не лечится,442,3,None,14,0,https://x.com/norimyxxxo/status/1035547700354265088,None
Fri Aug 31 15:14:46 +0000 2018,"Лучшие треков «Камикадзе» для меня:

The Ringer
Stepping Stone (до мурашек, только припев не зашел)
Normal (побольше бы такого)
Not Alike
Lucky You (но тут Лукас пересиял)
Kamikaze (особенно 3ий куплет)

Остальное все еще напряжно слушать. Но это лучший его альбом за 10 лет.",1589,79,None,39,15,https://x.com/norimyxxxo/status/1035546443321434112,None
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151141,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Fri Aug 31 15:14:46 +0000 2018,"Лучшие треков «Камикадзе» для меня:

The Ringer
Stepping Stone (до мурашек, только припев не зашел)
Normal (побольше бы такого)
Not Alike
Lucky You (но тут Лукас пересиял)
Kamikaze (особенно 3ий куплет)

Остальное все еще напряжно слушать. Но это лучший его альбом за 10 лет.",1589,79,None,39,15,https://x.com/norimyxxxo/status/1035546443321434112,None
Fri Aug 31 15:07:43 +0000 2018,"Во, с такой речью и мышлением тебе светит большая карьера в одном из крупных СМИ",858,13,None,18,2,https://x.com/norimyxxxo/status/1035544668136763392,None
Fri Aug 31 12:23:36 +0000 2018,"Альбома Эма меж тем как минимум наполовину крут и свеж (и это сильно отличает его от предыдущих, чему я дико рад), но мы сейчас в телеге рубимся с Порчи, которому он зашел целиком",2066,35,None,48,3,https://x.com/norimyxxxo/status/1035503367542464512,None
Fri Aug 31 12:19:31 +0000 2018,"Короче, я понял, как разделять немногих честных и профессиональных журналистов и большинство, состоящее из желтых кликбейт-хуесосов

Первых буду звать журналисты
Вторых - «журналисты»",2108,32,None,77,0,https://x.com/norimyxxxo/status/1035502341422821376,None
